product_id,sample_order,start_datetime,center_lon,center_lat,stratum,design_weight,n_valid_primary_bands,n_tail_gt80,tail_bands,max_shift_px,median_tail_shift_px,median_tail_response,max_tail_response,median_tail_corr_gain,n_tail_corr_improved,median_tail_scale_delta_px,n_tail_scale_delta_le80,n_large_cross_scale_repeatable_10pct,repeatable_large_bands,median_pairwise_repeatable_vector_distance_px,min_pairwise_repeatable_vector_distance_px,median_nearest_repeatable_vector_distance_px,n_within_25px_detector_model,n_within_75px_detector_model,n_within_150px_detector_model,exploratory_phenotype
4993,66,2026-04-09 03:55:39+00:00,109.614096104,40.757355738,T4_A2_L3,88.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",2047.2200834231887,96.22398727148544,0.0313810563820879,0.1104762475006282,0.0668761528497197,4,0.5510640305819282,4,5,"MS1,MS2,MS4,MS5,MS7",1.8599165513056954,0.2444466468970011,0.8017447783483336,0,0,1,cross-band coherent offset candidate
1517,12,2024-11-29 06:26:55+00:00,-110.375946352,-47.677213366,T0_A0_L0,2.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",3752.71492270789,570.3965553676568,0.0291022159915883,0.0473986481083557,0.0592893321738464,5,506.02553785916007,3,3,"MS2,MS4,MS6",637.8601432762389,504.291670329259,504.291670329259,2,4,4,detector-geometry-like candidate
2039,19,2025-04-16 09:30:17+00:00,15.347628106,-4.243915901,T1_A1_L2,20.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",2185.389975852061,1612.857548093505,0.0006796211055188,0.0067576492219814,-0.2102294260975369,2,283.98416099711045,0,0,,,,,0,0,1,estimator/acquisition failure-like
1295,1,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,T0_A0_L3,25.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",1983.6847031737004,387.3441051660785,0.0009975872089853,0.0038549396776943,-0.0633719264587265,1,660.0098467339851,0,0,,,,,0,0,0,estimator/acquisition failure-like
2796,38,2025-07-17 06:18:36+00:00,-107.793205092,-47.817202669,T2_A0_L0,1.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",1865.060597553649,207.22507026024456,0.00068067421671,0.0022459537212853,0.0167980381716103,5,771.2193632085923,0,0,,,,,0,0,0,estimator/acquisition failure-like
3829,50,2025-11-10 16:28:55+00:00,94.744836926,-18.212162718,T3_A1_L3,68.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",1256.3542352076156,665.9258200367258,0.0013430147555482,0.0032612879986118,-0.0092088751266258,3,1052.2564052022144,0,0,,,,,0,0,0,estimator/acquisition failure-like
1514,11,2024-11-27 05:41:39+00:00,-106.965990832,1.769427342,T0_A1_L0,2.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",1001.6855162429092,465.2267555873117,0.0034047655351459,0.00430246290192,-0.0004045174405165,3,762.8177067668686,0,0,,,,,1,1,1,estimator/acquisition failure-like
3811,49,2025-11-09 05:44:46+00:00,-98.770041466,-48.107514743,T3_A0_L0,7.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",943.546258243544,686.9461642340079,0.0017090943838411,0.0034456099965609,0.000481042737354,4,420.0443158364784,0,0,,,,,0,0,1,estimator/acquisition failure-like
4160,55,2025-12-20 17:08:02+00:00,85.454852977,-19.578954063,T3_A0_L2,8.0,7,7,"PAN,MS1,MS2,MS4,MS5,MS6,MS7",664.4489906465536,527.8047640452972,0.0015503747290495,0.0172119378839852,-0.0004884159062932,3,149.03976188238028,2,2,"MS1,MS7",790.1753515339703,790.1753515339703,790.1753515339703,0,0,1,estimator/acquisition failure-like
5701,75,2026-06-09 06:28:11+00:00,-115.935389579,0.233299726,T5_A1_L0,47.0,6,6,"MS1,MS2,MS4,MS5,MS6,MS7",2164.72500074598,918.2039169490874,0.00709194213914085,0.0258077015605522,0.005011829936550799,5,824.0414587849873,1,1,MS7,,,,1,1,2,estimator/acquisition failure-like
5481,71,2026-05-21 05:43:24+00:00,-97.064453558,-48.349206549,T5_A0_L0,19.0,6,6,"MS1,MS2,MS4,MS5,MS6,MS7",997.9889527012816,454.7292750912564,0.0011508620864333,0.0032251837619696,0.0387609588633186,5,441.3231142048037,0,0,,,,,1,1,1,estimator/acquisition failure-like
