qc_code,product_id,identifier,sample_order,stratum
QC001,5142,phisat_PHISAT-2_L1_000005142_20260420131519_20260420131522_E41D625F.zip,67,T4_A1_L1
QC002,1457,phisat_PHISAT-2_L1_000001457_20241104034901_20241104034906_282F2ECC.zip,5,T0_A1_L3
QC003,7064,phisat_PHISAT-2_L1_000007064_20260825092709_20260825092711_FB83741A.zip,89,T5_A2_L2
QC004,1470,phisat_PHISAT-2_L1_000001470_20241109034525_20241109034531_62873A7A.zip,7,T0_A2_L3
QC005,4418,phisat_PHISAT-2_L1_000004418_20260116185426_20260116185428_6CB19F2E.zip,56,T4_A2_L0
QC006,5545,phisat_PHISAT-2_L1_000005545_20260527095929_20260527095932_BDC09FC3.zip,73,T5_A2_L2
QC007,2695,phisat_PHISAT-2_L1_000002695_20250704024816_20250704024819_96A219F3.zip,36,T2_A0_L3
QC008,3507,phisat_PHISAT-2_L1_000003507_20251003054315_20251003054317_F8686058.zip,45,T3_A1_L2
QC009,2635,phisat_PHISAT-2_L1_000002635_20250622114232_20250622114235_0836D392.zip,34,T2_A2_L1
QC010,5492,phisat_PHISAT-2_L1_000005492_20260521185501_20260521185510_10AEC99E.zip,72,T5_A2_L1
QC011,4071,phisat_PHISAT-2_L1_000004071_20251210075555_20251210075557_C25C05DD.zip,53,T3_A2_L2
QC012,2613,phisat_PHISAT-2_L1_000002613_20250620141639_20250620141642_19A69C11.zip,33,T2_A1_L1
QC013,2796,phisat_PHISAT-2_L1_000002796_20250717061836_20250717061849_2FFBC549.zip,38,T2_A0_L0
QC014,6102,phisat_PHISAT-2_L1_000006102_20260705040952_20260705040955_5820AEEE.zip,81,T5_A2_L3
QC015,2176,phisat_PHISAT-2_L1_000002176_20250501134250_20250501134253_3F3B4624.zip,24,T2_A0_L1
QC016,7339,phisat_PHISAT-2_L1_000007339_20260906191359_20260906191407_6FF8D90C.zip,96,T5_A2_L0
QC017,7218,phisat_PHISAT-2_L1_000007218_20260901121150_20260901121153_0ABCCE9C.zip,93,T5_A2_L2
QC018,3367,phisat_PHISAT-2_L1_000003367_20250918192115_20250918192117_176D117C.zip,43,T3_A2_L0
QC019,7214,phisat_PHISAT-2_L1_000007214_20260901091222_20260901091225_094FDBD9.zip,92,T5_A2_L2
QC020,4447,phisat_PHISAT-2_L1_000004447_20260119063852_20260119063855_13E21EA5.zip,58,T4_A2_L2
QC021,5879,phisat_PHISAT-2_L1_000005879_20260620000238_20260620000248_FD636ECF.zip,77,T5_A2_L1
QC022,4689,phisat_PHISAT-2_L1_000004689_20260308055710_20260308055713_30A85319.zip,61,T4_A1_L2
QC023,2779,phisat_PHISAT-2_L1_000002779_20250715202421_20250715202424_7C9D28CB.zip,37,T2_A2_L0
QC024,2127,phisat_PHISAT-2_L1_000002127_20250426134822_20250426134825_FF2DF97B.zip,23,T1_A1_L1
QC025,2111,phisat_PHISAT-2_L1_000002111_20250424173455_20250424173458_83809893.zip,21,T1_A1_L0
QC026,3829,phisat_PHISAT-2_L1_000003829_20251110162855_20251110162905_8AC11518.zip,50,T3_A1_L3
QC027,3666,phisat_PHISAT-2_L1_000003666_20251022183414_20251022183416_C8EE5398.zip,46,T3_A2_L0
QC028,2640,phisat_PHISAT-2_L1_000002640_20250622210441_20250622210444_473EF5EF.zip,35,T2_A2_L0
QC029,5326,phisat_PHISAT-2_L1_000005326_20260510005944_20260510005947_3CDF6709.zip,70,T5_A0_L3
QC030,1603,phisat_PHISAT-2_L1_000001603_20250204034149_20250204034155_DF3BE6DD.zip,14,T1_A1_L3
QC031,4461,phisat_PHISAT-2_L1_000004461_20260121164958_20260121165000_65E49ACD.zip,59,T4_A1_L0
QC032,4088,phisat_PHISAT-2_L1_000004088_20251214142023_20251214142026_F1418062.zip,54,T3_A0_L1
QC033,4952,phisat_PHISAT-2_L1_000004952_20260404160421_20260404160430_1798EA5D.zip,65,T4_A0_L0
