qc_code,label,notes
QC001,U,visually usable acquisition
QC002,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC003,U,visually usable acquisition
QC004,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC005,U,visually usable acquisition
QC006,U,visually usable acquisition
QC007,U,visually usable acquisition
QC008,U,visually usable acquisition
QC009,U,visually usable acquisition
QC010,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC011,U,visually usable acquisition
QC012,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC013,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC014,U,visually usable acquisition
QC015,U,visually usable acquisition
QC016,U,visually usable acquisition
QC017,U,visually usable acquisition
QC018,U,visually usable acquisition
QC019,U,visually usable acquisition
QC020,U,visually usable acquisition
QC021,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC022,U,visually usable acquisition
QC023,U,visually usable acquisition
QC024,U,visually usable acquisition
QC025,U,visually usable acquisition
QC026,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC027,U,visually usable acquisition
QC028,U,visually usable acquisition
QC029,U,visually usable acquisition
QC030,U,visually usable acquisition
QC031,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC032,U,visually usable acquisition
QC033,U,visually usable acquisition
QC034,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC035,U,visually usable acquisition
QC036,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC037,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC038,U,visually usable acquisition
QC039,U,visually usable acquisition
QC040,U,visually usable acquisition
QC041,U,visually usable acquisition
QC042,U,visually usable acquisition
QC043,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC044,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC045,U,visually usable acquisition
QC046,U,visually usable acquisition
QC047,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC048,U,visually usable acquisition
QC049,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC050,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC051,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC052,U,visually usable acquisition
QC053,U,visually usable acquisition
QC054,U,visually usable acquisition
QC055,U,visually usable acquisition
QC056,U,visually usable acquisition
QC057,U,visually usable acquisition
QC058,U,visually usable acquisition
QC059,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC060,U,visually usable acquisition
QC061,U,visually usable acquisition
QC062,U,visually usable acquisition
QC063,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC064,U,visually usable acquisition
QC065,U,visually usable acquisition
QC066,U,visually usable acquisition
QC067,U,visually usable acquisition
QC068,U,visually usable acquisition
QC069,U,visually usable acquisition
QC070,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC071,U,visually usable acquisition
QC072,U,visually usable acquisition
QC073,U,visually usable acquisition
QC074,U,visually usable acquisition
QC075,U,visually usable acquisition
QC076,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC077,U,visually usable acquisition
QC078,U,visually usable acquisition
QC079,U,visually usable acquisition
QC080,U,visually usable acquisition
QC081,U,visually usable acquisition
QC082,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC083,U,visually usable acquisition
QC084,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC085,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC086,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC087,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC088,U,visually usable acquisition
QC089,U,visually usable acquisition
QC090,U,visually usable acquisition
QC091,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC092,U,visually usable acquisition
QC093,U,visually usable acquisition
QC094,U,visually usable acquisition
QC095,F,obvious acquisition/sensor corruption visible in blinded RGB/PAN/NIR sheet
QC096,U,visually usable acquisition
