level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,sample_order
L1C,1295,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip,PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip,10f045c9-47cb-52e4-80f0-d0810c5336e9,2024-08-29 00:20:27+00:00,2024-08-29 00:20:36+00:00,123.953724514,-74.86373352,0,0,3,T0_A0_L3,25,1,0.04,25.0,1
L1C,1309,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip,PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip,d94cc184-9b9f-5316-a133-752075834c22,2024-09-16 09:36:51+00:00,2024-09-16 09:37:01+00:00,12.172203886,-16.482034464,0,1,2,T0_A1_L2,5,1,0.2,5.0,2
L1C,1334,phisat_PHISAT-2_L1_000001334_20241002112816_20241002112825_07E22ED4.zip,PHISAT-2_L1_000001334_20241002112816_20241002112825_07E22ED4.zip,f60f3cc1-d6f4-5d59-881f-3ea86e3cdc1a,2024-10-02 11:28:16+00:00,2024-10-02 11:28:25+00:00,-9.357523287,19.275854452,0,1,1,T0_A1_L1,2,1,0.5,2.0,3
L1C,1369,phisat_PHISAT-2_L1_000001369_20241015185218_20241015185224_0DECCD4F.zip,PHISAT-2_L1_000001369_20241015185218_20241015185224_0DECCD4F.zip,91d6a4ce-0417-5bb0-af5b-aa12b25f5523,2024-10-15 18:52:18+00:00,2024-10-15 18:52:24+00:00,-117.853259276,35.02265484,0,2,0,T0_A2_L0,24,1,0.041666666666666664,24.0,4
L1C,1457,phisat_PHISAT-2_L1_000001457_20241104034901_20241104034906_282F2ECC.zip,PHISAT-2_L1_000001457_20241104034901_20241104034906_282F2ECC.zip,12054fbf-6c6f-5cb2-bc23-b6263c8eb243,2024-11-04 03:49:01+00:00,2024-11-04 03:49:06+00:00,103.669120635,1.16828517,0,1,3,T0_A1_L3,2,1,0.5,2.0,5
L1C,1466,phisat_PHISAT-2_L1_000001466_20241107092209_20241107092215_E74D4190.zip,PHISAT-2_L1_000001466_20241107092209_20241107092215_E74D4190.zip,6c55728d-8d59-5f11-b27b-2924472512d7,2024-11-07 09:22:09+00:00,2024-11-07 09:22:15+00:00,15.26960204,-23.219317701,0,0,2,T0_A0_L2,6,1,0.16666666666666666,6.0,6
L1C,1470,phisat_PHISAT-2_L1_000001470_20241109034525_20241109034531_62873A7A.zip,PHISAT-2_L1_000001470_20241109034525_20241109034531_62873A7A.zip,f000833d-1483-5856-9b4e-30e45a3d0223,2024-11-09 03:45:25+00:00,2024-11-09 03:45:31+00:00,109.585934368,40.877533369,0,2,3,T0_A2_L3,20,1,0.05,20.0,7
L1C,1489,phisat_PHISAT-2_L1_000001489_20241115145636_20241115145642_639BE897.zip,PHISAT-2_L1_000001489_20241115145636_20241115145642_639BE897.zip,0b2a0837-2d56-5660-b115-cb95cbbb0331,2024-11-15 14:56:36+00:00,2024-11-15 14:56:42+00:00,-69.436470413,-31.906330442,0,0,1,T0_A0_L1,4,1,0.25,4.0,8
L1C,1500,phisat_PHISAT-2_L1_000001500_20241123055944_20241123055946_8790E871.zip,PHISAT-2_L1_000001500_20241123055944_20241123055946_8790E871.zip,50350347-9fb5-5a13-ad17-86fd4fa3a4bb,2024-11-23 05:59:44+00:00,2024-11-23 05:59:46+00:00,72.198789758,22.872533974,0,2,2,T0_A2_L2,56,1,0.017857142857142856,56.0,9
L1C,1511,phisat_PHISAT-2_L1_000001511_20241126112522_20241126112528_02B134C6.zip,PHISAT-2_L1_000001511_20241126112522_20241126112528_02B134C6.zip,ee955784-54a5-55ba-8c6a-2dcca73b10ff,2024-11-26 11:25:22+00:00,2024-11-26 11:25:28+00:00,-8.791869599,20.889129256,0,2,1,T0_A2_L1,27,1,0.037037037037037035,27.0,10
L1C,1514,phisat_PHISAT-2_L1_000001514_20241127054139_20241127054141_C2C9134D.zip,PHISAT-2_L1_000001514_20241127054139_20241127054141_C2C9134D.zip,e89b4289-b108-56b0-a0d3-583e32e626ec,2024-11-27 05:41:39+00:00,2024-11-27 05:41:41+00:00,-106.965990832,1.769427342,0,1,0,T0_A1_L0,2,1,0.5,2.0,11
L1C,1517,phisat_PHISAT-2_L1_000001517_20241129062655_20241129062713_34ACC35D.zip,PHISAT-2_L1_000001517_20241129062655_20241129062713_34ACC35D.zip,f219dabc-cb6b-5e37-9b2a-5391dbed5b38,2024-11-29 06:26:55+00:00,2024-11-29 06:27:13+00:00,-110.375946352,-47.677213366,0,0,0,T0_A0_L0,2,1,0.5,2.0,12
L1C,1570,phisat_PHISAT-2_L1_000001570_20250113170037_20250113170043_770DCFB8.zip,PHISAT-2_L1_000001570_20250113170037_20250113170043_770DCFB8.zip,2aba1a90-7922-5490-94da-fbd706ad619c,2025-01-13 17:00:37+00:00,2025-01-13 17:00:43+00:00,-91.245510246,28.706793448,1,2,0,T1_A2_L0,110,1,0.00909090909090909,110.0,13
L1C,1603,phisat_PHISAT-2_L1_000001603_20250204034149_20250204034155_DF3BE6DD.zip,PHISAT-2_L1_000001603_20250204034149_20250204034155_DF3BE6DD.zip,2bc786d1-34de-5854-b704-cafd09a7690f,2025-02-04 03:41:49+00:00,2025-02-04 03:41:55+00:00,104.558408702,1.482647869,1,1,3,T1_A1_L3,35,1,0.02857142857142857,35.0,14
L1C,1659,phisat_PHISAT-2_L1_000001659_20250226024917_20250226024919_B637009B.zip,PHISAT-2_L1_000001659_20250226024917_20250226024919_B637009B.zip,6691721e-46a9-5f24-b3cb-e70c6605b0bb,2025-02-26 02:49:17+00:00,2025-02-26 02:49:19+00:00,115.092920672,-21.793288892,1,0,3,T1_A0_L3,1,1,1.0,1.0,15
L1C,1829,phisat_PHISAT-2_L1_000001829_20250323161144_20250323161147_95FE5DAA.zip,PHISAT-2_L1_000001829_20250323161144_20250323161147_95FE5DAA.zip,227772b5-b6ca-55bd-9843-098e706a0666,2025-03-23 16:11:44+00:00,2025-03-23 16:11:47+00:00,-80.929568011,26.631115124,1,2,1,T1_A2_L1,67,1,0.014925373134328358,67.0,16
L1C,1913,phisat_PHISAT-2_L1_000001913_20250403090809_20250403090812_B1BC6163.zip,PHISAT-2_L1_000001913_20250403090809_20250403090812_B1BC6163.zip,767fb53e-f102-566d-a8c1-b07664b48f8a,2025-04-03 09:08:09+00:00,2025-04-03 09:08:12+00:00,29.591543108,45.172319452,1,2,2,T1_A2_L2,102,1,0.00980392156862745,102.0,17
L1C,1979,phisat_PHISAT-2_L1_000001979_20250409133816_20250409133819_6C4A2EA2.zip,PHISAT-2_L1_000001979_20250409133816_20250409133819_6C4A2EA2.zip,9c38ee56-6be8-573b-baa2-d235e6dcc1c5,2025-04-09 13:38:16+00:00,2025-04-09 13:38:19+00:00,-46.662252871,-23.622386414,1,0,1,T1_A0_L1,27,1,0.037037037037037035,27.0,18
L1C,2039,phisat_PHISAT-2_L1_000002039_20250416093017_20250416093020_87F1E8DD.zip,PHISAT-2_L1_000002039_20250416093017_20250416093020_87F1E8DD.zip,be74d9be-e364-5ec6-95e0-8ad26bb44096,2025-04-16 09:30:17+00:00,2025-04-16 09:30:20+00:00,15.347628106,-4.243915901,1,1,2,T1_A1_L2,20,1,0.05,20.0,19
